Sample_ID;Treatment;Nummer_Green;Initial_W_Green;Nummer_Red;Initial_W_Red;Final_W_Green;Final_W_Red;Wt_Red;Wt_Green;Parzelle;Initial_W_Green;Initial_W_Red
1;Cut & Carry;4;2,194;3;2,22;1,4;1,4;0,630630631;0,63810392;1a;1,9445375;1,9705375
2;Cut & Compost;8;2,108;7;2,282;1,4;1,4;0,613496933;0,664136622;2a;1,8585375;2,0325375
3;Compost with FM;12;2,061;11;2,197;1,4;1,4;0,63723259;0,679281902;3.1a;1,8115375;1,9475375
4;Compost without FM;16;2,104;15;2,215;1,4;1,4;0,632054176;0,66539924;3.3a;1,8545375;1,9655375
5;Haarmehlpellets;20;2,131;19;2,225;1,4;1,4;0,629213483;0,656968559;4a;1,8815375;1,9755375
6;Ambient;24;2,037;23;2,243;1,4;1,4;0,624164066;0,687285223;5a;1,7875375;1,9935375
7;Cut & Compost;28;2,944;27;2,159;1,4;1,4;0,648448356;0,475543478;2b;2,6945375;1,9095375
8;Ambient;32;1,951;31;2,173;1,4;1,4;0,644270594;0,717580728;5b;1,7015375;1,9235375
9;Compost with FM;36;2,128;35;2,289;1,4;1,4;0,611620795;0,657894737;3.1b;1,8785375;2,0395375
10;Compost without FM;40;1,927;39;2,234;1,4;1,4;0,626678603;0,726517903;3.3b;1,6775375;1,9845375
11;Cut & Carry;44;2,028;43;2,226;1,4;1,4;0,628930818;0,690335306;1b;1,7785375;1,9765375
12;Haarmehlpellets;48;2,133;47;2,286;1,4;1,4;0,612423447;0,656352555;4b;1,8835375;2,0365375
13;Compost with FM;52;2,015;51;2,181;1,4;1,4;0,641907382;0,694789082;3.1c;1,7655375;1,9315375
14;Compost without FM;56;2,049;55;2,26;1,4;1,4;0,619469027;0,683260127;3.3c;1,7995375;2,0105375
15;Cut & Compost;60;2,123;59;2,163;1,4;1,4;0,647249191;0,659444183;2c;1,8735375;1,9135375
16;Ambient;64;2,044;63;2,275;1,4;1,4;0,615384615;0,684931507;5c;1,7945375;2,0255375
17;Haarmehlpellets;68;2,066;67;2,268;1,4;1,4;0,617283951;0,677637948;4c;1,8165375;2,0185375
18;Cut & Carry;72;2,182;71;2,239;1,4;1,4;0,625279142;0,641613199;1c;1,9325375;1,9895375
19;Cut & Compost;76;1,951;75;2,224;1,4;1,4;0,629496403;0,717580728;2d;1,7015375;1,9745375
20;Compost without FM;80;2,038;79;2,284;1,4;1,4;0,61295972;0,686947988;3.3d;1,7885375;2,0345375
21;Compost with FM;84;2,039;83;2,281;1,4;1,4;0,613765892;0,686611084;3.1d;1,7895375;2,0315375
22;Haarmehlpellets;88;2,039;87;2,222;1,4;1,4;0,630063006;0,686611084;4d;1,7895375;1,9725375
23;Cut & Carry;92;2,075;91;2,222;1,4;1,4;0,630063006;0,674698795;1d;1,8255375;1,9725375
24;Ambient;96;2,038;95;2,266;1,4;1,4;0,617828773;0,686947988;5d;1,7885375;2,0165375
25;Weg;100;2,102;99;2,281;1,4;1,4;0,613765892;0,66603235;Weg1;1,8525375;2,0315375
26;Weg;104;2,089;103;2,309;1,4;1,4;0,606323084;0,670177118;Weg2;1,8395375;2,0595375
27;Weg;108;2,117;107;2,211;1,4;1,4;0,633197648;0,661313179;Weg3;1,8675375;1,9615375
28;Weg;112;2,098;111;2,197;1,4;1,4;0,63723259;0,667302193;Weg4;1,8485375;1,9475375
