Sample_ID;Treatment;Nummer_Green;Initial_W_Green_with_label_cord;Nummer_Red;Initial_W_Red_with_label_cord;Final_W_Green;Final_W_Red;Wt_Red;Wt_Green;Parzelle;Initial_W_Green;Initial_W_Red;Fraction_decomposed_green_tea_ag;Predicted_labile_fraction_red_tea_ar;incubation_time_red_and_green_tea_t;Date_of_burial;recovery_date;S;k;Wt2_Green;W(t)_Red
1;Cut & Carry;2;2,085;1;2,274;0,6;1,4;0,615655233;0,287769784;1a;1,8355375;2,0245375;0,712230216;0,466925272;143;25.04.2019;15. Sep 19;0,154120884;0,012114654;2,087965729;4,274132195
2;Cut & Compost;6;2,134;5;2,243;0,6;1,4;0,624164066;0,281162137;2a;1,8845375;1,9935375;0,718837863;0,471257126;143;25.04.2019;15. Sep 19;0,146273322;0,011168554;1,975403078;3,854119139
3;Compost with FM;10;2,084;9;2,21;0,6;1,4;0,633484163;0,287907869;3.1a;1,8345375;1,9605375;0,712092131;0,466834746;143;25.04.2019;15. Sep 19;0,154284881;0,010752595;1,973464996;3,759442587
4;Compost without FM;14;2,116;13;2,243;0,6;1,4;0,624164066;0,283553875;3.3a;1,8665375;1,9935375;0,716446125;0,469689146;143;25.04.2019;15. Sep 19;0,149113866;0,011261113;1,994371087;3,907040917
5;Haarmehlpellets;18;2,115;17;2,224;0,6;1,4;0,629496403;0,283687943;4a;1,8655375;1,9745375;0,716312057;0,469601253;143;25.04.2019;15. Sep 19;0,149273092;0,010879567;1,964150095;3,7716781
6;Ambient;22;1,926;21;2,294;0,6;1,4;0,610287707;0,31152648;5a;1,6765375;2,0445375;0,68847352;0,451350811;143;25.04.2019;15. Sep 19;0,182335487;0,013922783;2,414141102;5,422223961
7;Cut & Compost;26;2,921;25;2,222;0,6;1,4;0,630063006;0,205409106;2b;2,6715375;1,9725375;0,794590894;0,520919446;143;25.04.2019;15. Sep 19;0,056305352;0,008660362;1,53483876;2,721724525
8;Ambient;30;1,944;29;2,305;0,6;1,4;0,607375271;0,308641975;5b;1,6945375;2,0555375;0,691358025;0,45324184;143;25.04.2019;15. Sep 19;0,178909709;0,014068872;2,409967244;5,460496531
9;Compost with FM;34;2,088;33;2,223;0,6;1,4;0,629779577;0,287356322;3.1b;1,8385375;1,9735375;0,712643678;0,467196331;143;25.04.2019;15. Sep 19;0,153629836;0,010995014;1,990795987;3,8413846
10;Compost without FM;38;2,042;37;2,243;0,6;1,4;0,624164066;0,293829579;3.3b;1,7925375;1,9935375;0,706170421;0,46295258;143;25.04.2019;15. Sep 19;0,16131779;0,011680956;2,08187277;4,156809329
